"gene","mean_rela","steepness_rela","skewness_rela"
"MRPL44",1.23848275595038,1.02358052989211,-0.618411561429874
"PTR2",1.10975530775287,0.950908828919136,-0.275694358453678
"TAT2",1.24332899013656,0.847483048363934,-1.30661294280788
"RPL21B",1.44846888847635,0.803349803117182,-1.33785668642435
"BPT1",1.05971834027353,0.981059370185214,0.358050492115558
"NST1",1.1961917793994,0.843425396615483,-1.47923329175798
"VID30",1.08528020382996,0.812839783511436,0.16910911942799
"MTM1",1.19015065482183,0.917898957703315,-0.0779975824038889
"EOS1",1.30103085605989,1.2998251979629,-0.00772071706627613
"BST1",1.31589964331031,0.86247775734824,-1.3983174928372
"LAT1",0.943479620621408,0.951923589141881,-1.15191107609137
"ALG3",1.08092491816031,0.817641737713418,-0.408148876021004
"SAP190",1.09767684569615,0.964025360583224,-0.0855204867068356
